date,open,high,low,close,volume
2023-08-22,21.228,21.28,19.366,20.588,38689.5384876
2023-08-21,21.748,21.794,20.32,21.212,17025.61364733
2023-08-20,21.901,22.055,21.58,21.793,4024.24663468
2023-08-19,21.315,22.178,21.315,21.885,8201.92425929
2023-08-18,21.635,22.2,20.88,21.356,51904.01372188
2023-08-17,22.74,23.437,19.861,21.651,84837.11426321
2023-08-16,23.931,24.005,22.373,22.824,51619.48284584
2023-08-15,25.244,25.387,23.739,23.922,32750.54880879
2023-08-14,24.233,25.289,24.064,25.162,41135.462297
2023-08-13,24.863,24.958,24.231,24.235,11022.92886584
2023-08-12,24.631,25.256,24.405,24.938,14383.76997512
2023-08-11,24.706,24.933,24.339,24.613,9867.21427045
2023-08-10,24.428,24.907,24.145,24.6,28658.66616348
2023-08-09,24.242,25.019,24.113,24.413,18755.32717811
2023-08-08,23.146,24.78,23.035,24.25,56387.12393335
2023-08-07,23.211,23.642,22.365,23.14,13477.17197079
2023-08-06,22.638,23.513,22.581,23.218,24156.48073333
2023-08-05,22.745,22.958,22.234,22.639,10843.59561957
2023-08-04,22.646,23.569,22.48,22.818,10619.50767533
2023-08-03,23.122,23.406,22.492,22.653,20939.77052614
2023-08-02,24.13,24.26,22.85,23.163,21562.25889289
2023-08-01,23.746,24.07,22.85,24.042,38430.03642819
2023-07-31,24.236,24.81,23.542,23.728,24325.82704042
2023-07-30,25.219,25.239,23.556,24.279,28735.5770613
2023-07-29,24.806,25.433,24.767,25.219,10169.57007698
2023-07-28,25.076,25.572,24.566,24.83,21088.7907679
2023-07-27,25.204,25.66,24.704,25.114,26190.87012623
2023-07-26,23.33,25.7,23.215,25.204,63438.80870834
2023-07-25,23.36,23.645,22.81,23.324,28961.58236426
2023-07-24,24.727,24.85,22.932,23.372,34501.29135917
2023-07-23,24.525,25.27,24.168,24.806,10304.87323426
2023-07-22,25.556,26.01,24.155,24.555,25133.39480572
2023-07-21,25.335,26.018,25.095,25.515,14242.18622477
2023-07-20,26.362,27.374,25.076,25.36,31519.9131832
2023-07-19,25.535,27.0,25.391,26.407,23056.44072953
2023-07-18,26.905,27.114,24.782,25.614,31324.57362953
2023-07-17,27.444,28.512,25.635,26.935,47615.64005195
2023-07-16,27.548,28.658,26.54,27.415,56830.97151773
2023-07-15,26.71,29.125,26.502,27.3,70203.9496294
2023-07-14,26.044,32.5,25.292,26.704,191731.70540361
2023-07-13,21.964,26.8,21.483,26.018,150363.20387469
2023-07-12,22.091,22.921,21.765,21.962,55170.25824153
2023-07-11,21.365,22.382,21.222,22.091,39523.63741758
2023-07-10,21.32,21.812,20.51,21.346,74242.3899319
2023-07-09,21.868,22.441,21.02,21.341,47337.01775256
2023-07-08,21.522,22.478,21.33,21.848,61792.67031648
2023-07-07,19.608,21.78,19.295,21.515,99671.81705147
2023-07-06,19.001,20.988,18.845,19.685,95366.11427628
2023-07-05,19.183,19.383,18.368,19.001,20687.26368248
2023-07-04,19.302,19.947,19.095,19.148,18834.95998276
2023-07-03,19.493,19.67,18.883,19.281,11979.75932772
2023-07-02,18.728,19.775,18.541,19.496,29147.39430848
2023-07-01,18.876,19.025,17.926,18.748,19838.6881468
2023-06-30,17.999,20.026,17.113,18.866,92797.26952826
2023-06-29,15.963,18.28,15.875,17.961,59030.26967449
2023-06-28,16.594,16.647,15.614,15.975,63360.15786634
2023-06-27,16.283,16.926,16.148,16.638,16901.99997223
2023-06-26,16.897,17.112,15.911,16.307,19790.07788927
2023-06-25,16.651,17.378,16.586,16.973,10575.22501368
2023-06-24,17.12,17.572,16.39,16.683,22715.40658029
2023-06-23,16.646,17.539,16.184,17.169,43411.45070521
2023-06-22,17.242,17.75,16.58,16.665,23304.45858244
2023-06-21,16.657,17.389,16.578,17.243,58254.70717185
2023-06-20,16.082,16.693,15.72,16.657,23803.40988343
2023-06-19,15.504,16.17,15.354,16.112,18729.60805694
2023-06-18,15.632,15.854,15.288,15.434,16073.10952168
2023-06-17,15.328,16.133,15.175,15.652,17137.29550167
2023-06-16,14.695,15.474,14.381,15.334,18347.15199578
2023-06-15,14.451,15.088,14.18,14.762,33488.5262086
2023-06-14,15.046,15.378,14.062,14.488,43298.67587333
2023-06-13,15.191,16.049,14.773,15.021,39877.67434543
2023-06-12,15.557,15.676,14.73,15.207,46106.1337436
2023-06-11,15.615,16.204,15.13,15.569,58231.37167367
2023-06-10,17.373,17.414,13.027,15.643,352867.77460391
2023-06-09,18.896,19.376,17.121,17.382,40284.337494
2023-06-08,18.611,19.116,18.253,18.952,14993.70905234
2023-06-07,20.344,20.518,18.54,18.652,39806.90644046
2023-06-06,19.989,20.713,19.24,20.382,48017.25974862
2023-06-05,21.843,22.055,19.22,20.0,53115.71605306
2023-06-04,21.192,22.303,21.041,21.83,34169.65465697
2023-06-03,21.276,21.369,20.957,21.202,4730.62500576
2023-06-02,20.493,21.38,20.31,21.259,11198.36834765
2023-06-01,20.817,21.008,20.427,20.51,11572.59640164
2023-05-31,21.292,21.345,20.39,20.827,13826.04487195
2023-05-30,20.609,21.439,20.5,21.285,30485.56193477
2023-05-29,20.852,20.995,20.28,20.612,10843.83502409
2023-05-28,20.401,21.217,20.32,20.813,21987.47493987
2023-05-27,19.367,20.546,19.349,20.443,10421.76148893
2023-05-26,19.267,19.563,19.11,19.38,7969.95516561
2023-05-25,19.275,19.613,18.809,19.279,26688.1864564
2023-05-24,20.034,20.079,18.702,19.217,23583.07110666
2023-05-23,19.53,20.206,19.446,20.063,11325.67945907
2023-05-22,19.65,20.039,19.307,19.55,18747.97590763
2023-05-21,20.292,20.39,19.367,19.602,17415.63496042
2023-05-20,20.34,20.362,20.107,20.291,6990.45504386
2023-05-19,20.356,20.625,20.237,20.37,3559.83986391
2023-05-18,21.1,21.1,20.13,20.341,23078.66662154
2023-05-17,20.689,21.223,20.442,21.069,13053.82351907
2023-05-16,20.998,21.139,20.464,20.701,16345.80468192
2023-05-15,20.952,21.524,20.603,21.009,20394.796059
2023-05-14,20.849,21.284,20.635,20.969,12596.08952861
2023-05-13,20.97,21.301,20.796,20.861,12493.78863198
2023-05-12,20.185,20.97,19.816,20.928,26737.82409764
2023-05-11,20.957,20.957,19.738,20.206,52837.87904054
2023-05-10,20.653,21.337,19.877,20.934,38468.18212526
2023-05-09,20.657,21.018,20.44,20.694,28005.9711199
2023-05-08,21.681,21.851,20.011,20.69,81093.94034543
2023-05-07,21.958,22.819,21.683,21.713,21842.65305628
2023-05-06,22.876,23.26,21.573,21.98,31323.67102862
2023-05-05,21.742,23.071,21.579,22.825,39375.90035677
2023-05-04,22.263,22.498,21.629,21.738,20298.09733127
2023-05-03,22.258,22.311,21.267,22.22,37141.04111856
2023-05-02,21.929,22.392,21.76,22.259,23338.80886734
2023-05-01,22.765,22.897,21.57,21.996,42577.52316218
2023-04-30,23.208,24.002,22.693,22.693,27825.14026656
2023-04-29,23.373,23.901,22.913,23.21,33930.73768466
2023-04-28,22.361,23.529,22.181,23.364,62260.91154307
2023-04-27,21.282,22.497,21.202,22.327,54386.9303621
2023-04-26,21.953,22.967,20.37,21.279,68144.73852514
2023-04-25,21.396,21.987,20.736,21.921,38885.24288893
2023-04-24,21.489,22.022,21.009,21.408,34846.17434141
2023-04-23,21.791,22.266,20.922,21.483,34479.53401009
2023-04-22,21.26,22.005,21.084,21.813,25551.41173559
2023-04-21,22.201,22.403,20.928,21.286,59700.72080794
2023-04-20,22.675,23.188,21.613,22.191,63273.93090457
2023-04-19,24.778,24.982,21.452,22.713,118254.12435459
2023-04-18,24.559,25.458,24.002,24.814,60207.92244755
2023-04-17,25.347,25.986,24.334,24.576,70675.20002858
2023-04-16,24.021,25.471,23.822,25.337,42540.74724898
2023-04-15,24.706,24.792,23.805,24.054,24512.31881667
2023-04-14,24.434,25.488,23.75,24.715,80266.44917525
2023-04-13,23.83,25.278,23.65,24.431,39354.19092212
2023-04-12,23.002,24.48,22.327,23.768,85351.87380785
2023-04-11,20.873,23.673,20.828,22.975,82264.50888591
2023-04-10,20.255,20.933,20.073,20.868,12141.4169
2023-04-09,20.005,20.43,19.845,20.289,8208.45668314
2023-04-08,20.43,20.735,19.818,20.019,9656.9729648
2023-04-07,20.6,20.754,20.21,20.473,9933.35606702
2023-04-06,20.96,20.986,20.452,20.579,10333.06986012
2023-04-05,20.936,21.339,20.579,20.957,17834.01298159
2023-04-04,20.463,21.247,20.297,20.911,17018.17466572
2023-04-03,20.49,20.99,19.96,20.441,25868.63353011
2023-04-02,21.087,21.317,20.202,20.519,21848.57070068
2023-04-01,21.188,21.327,20.739,21.066,13342.87552785
2023-03-31,20.559,21.48,20.02,21.169,29458.36023876
2023-03-30,21.129,21.665,20.159,20.538,65319.19186675
2023-03-29,20.464,21.556,20.453,21.1,18752.24360845
2023-03-28,19.887,20.88,19.6,20.449,21586.97396702
2023-03-27,20.954,20.986,19.311,19.911,33154.51984812
2023-03-26,20.394,21.152,20.296,20.943,10555.88182948
2023-03-25,20.642,20.977,20.089,20.427,18928.76715162
2023-03-24,22.185,22.271,20.289,20.657,70455.0715935
2023-03-23,21.397,22.742,21.079,22.21,41336.52863038
2023-03-22,22.536,23.096,20.943,21.418,50082.99686251
2023-03-21,22.139,23.306,21.522,22.585,47640.56984334
2023-03-20,21.873,23.9,21.33,22.137,90551.65076294
2023-03-19,21.219,22.4,21.219,21.86,47765.54478281
2023-03-18,21.597,22.946,21.06,21.218,89660.12590027
2023-03-17,19.703,21.655,19.47,21.612,64513.36759025
2023-03-16,19.277,19.935,18.918,19.721,51801.95930296
2023-03-15,20.909,21.492,18.788,19.275,102917.31014472
2023-03-14,20.473,22.187,19.812,20.916,106991.47520683
2023-03-13,20.328,21.479,18.888,20.462,96883.30760936
2023-03-12,18.139,20.59,17.766,20.214,75473.78116903
2023-03-11,18.172,18.988,17.011,18.127,111117.36815244
2023-03-10,17.339,18.39,16.012,18.23,111178.77189017
2023-03-09,18.45,18.778,16.722,17.332,80881.59481172
2023-03-08,20.272,20.388,18.121,18.427,48865.81810992
2023-03-07,20.63,20.972,19.708,20.251,21930.44577698
2023-03-06,20.943,21.179,20.46,20.631,11289.56421272
2023-03-05,20.969,21.67,20.842,20.972,6493.46150972
2023-03-04,21.397,21.628,20.195,20.976,44327.80820433
2023-03-03,22.01,22.022,20.319,21.414,22870.74168201
2023-03-02,22.507,22.657,21.66,21.987,10731.75388475
2023-03-01,21.913,22.909,21.652,22.542,20826.37071368
2023-02-28,22.684,22.757,21.784,21.885,18881.6556493
2023-02-27,23.254,23.419,22.323,22.681,29770.73413159
2023-02-26,22.364,23.527,22.24,23.257,20864.89173531
2023-02-25,23.089,23.331,21.444,22.416,40086.48496828
2023-02-24,23.881,24.144,22.466,23.085,46245.27043505
2023-02-23,24.176,24.665,23.629,23.926,14296.80454974
2023-02-22,24.96,25.243,23.245,24.15,104731.40168368
2023-02-21,26.266,26.624,24.55,24.997,78876.02748979
2023-02-20,24.834,27.123,24.121,26.219,75967.12182538
2023-02-19,23.458,25.614,23.201,24.877,69623.77459424
2023-02-18,23.173,23.935,22.924,23.469,13416.71368383
2023-02-17,22.259,23.546,22.056,23.164,27048.24140435
2023-02-16,23.891,24.149,22.211,22.307,46300.37970767
2023-02-15,21.878,23.969,21.464,23.87,60786.11877718
2023-02-14,20.768,22.396,20.672,21.838,44586.02871681
2023-02-13,21.456,21.591,19.761,20.736,40282.12315065
2023-02-12,20.831,22.537,20.627,21.51,38576.23790235
2023-02-11,20.111,20.911,20.111,20.829,9134.31852268
2023-02-10,20.45,21.173,19.699,20.11,27643.62645079
2023-02-09,23.24,23.32,20.0,20.468,67129.26505311
2023-02-08,23.885,24.231,22.823,23.173,21079.13474045
2023-02-07,22.635,23.953,22.545,23.84,31668.19523405
2023-02-06,23.501,23.722,22.509,22.649,33451.92846942
2023-02-05,24.292,24.467,23.02,23.473,51963.93272664
2023-02-04,24.654,24.929,24.194,24.329,19669.6280236
2023-02-03,24.329,25.075,24.011,24.685,39497.56256009
2023-02-02,25.042,26.119,24.002,24.298,60271.8768658
2023-02-01,23.935,25.206,22.489,24.979,72041.66531846
2023-01-31,23.959,24.465,23.516,23.961,49804.95829842
2023-01-30,26.052,26.315,23.047,23.968,64982.51046622
2023-01-29,23.947,26.805,23.728,26.014,57685.15891952
2023-01-28,24.402,25.202,23.69,23.991,21221.82989466
2023-01-27,24.318,24.949,23.301,24.427,27797.20214022
2023-01-26,24.607,25.229,23.753,24.351,52559.93563534
2023-01-25,22.788,25.405,22.233,24.501,87812.60924203
2023-01-24,24.329,25.239,22.342,22.753,89923.09192748
