asset,date,close,sma_50w,sma_200w,below_sma_50w,below_sma_200w,event_first_below_50w,event_first_below_200w,event_reclaim_50w,event_reclaim_200w
sol,2025-08-25,200.8635406494141,175.49,101.84,False,False,False,False,False,False
sol,2025-09-01,206.4681854248047,176.73,101.62,False,False,False,False,False,False
sol,2025-09-08,240.5576934814453,178.37,101.64,False,False,False,False,False,False
sol,2025-09-15,236.5754547119141,180.17,101.66,False,False,False,False,False,False
sol,2025-09-22,210.7377471923828,181.43,101.71,False,False,False,False,False,False
sol,2025-09-29,228.6011962890625,182.66,101.87,False,False,False,False,False,False
sol,2025-10-06,197.508544921875,183.08,101.99,False,False,False,False,False,False
sol,2025-10-13,187.79820251464844,183.59,102.03,False,False,False,False,False,False
sol,2025-10-20,200.02862548828125,183.38,102.04,False,False,False,False,False,False
sol,2025-10-27,187.8259735107422,182.38,102.1,False,False,False,False,False,False
sol,2025-11-03,164.45384216308594,180.61,102.22,True,False,True,False,False,False
sol,2025-11-10,137.26573181152344,178.62,102.17,True,False,False,False,False,False
sol,2025-11-17,130.70506286621094,176.5,102.32,True,False,False,False,False,False
sol,2025-11-24,133.5648193359375,174.7,102.52,True,False,False,False,False,False
sol,2025-12-01,132.09356689453125,173.73,102.61,True,False,False,False,False,False
sol,2025-12-08,129.48109436035156,172.53,102.79,True,False,False,False,False,False
sol,2025-12-15,125.9915008544922,170.78,102.96,True,False,False,False,False,False
sol,2025-12-22,125.19935607910156,169.51,103.16,True,False,False,False,False,False
sol,2025-12-29,133.8996124267578,167.18,103.41,True,False,False,False,False,False
sol,2026-01-05,139.49046325683594,165.15,103.71,True,False,False,False,False,False
sol,2026-01-12,137.99542236328125,163.85,103.96,True,False,False,False,False,False
sol,2026-01-19,118.77285766601562,162.21,104.02,True,False,False,False,False,False
sol,2026-01-26,100.85052490234376,160.46,103.84,True,True,False,True,False,False
sol,2026-02-02,87.04410552978516,158.84,103.71,True,True,False,False,False,False
sol,2026-02-09,86.00509643554688,156.99,103.64,True,True,False,False,False,False
sol,2026-02-16,82.79097747802734,156.12,103.56,True,True,False,False,False,False
sol,2026-02-23,83.5776596069336,155.27,103.53,True,True,False,False,False,False
sol,2026-03-02,81.62458801269531,154.25,103.56,True,True,False,False,False,False
sol,2026-03-09,92.25182342529295,153.6,103.73,True,True,False,False,False,False
sol,2026-03-16,86.12834930419922,153.21,103.89,True,True,False,False,False,False
sol,2026-03-23,81.42240142822266,152.27,104.08,True,True,False,False,False,False
sol,2026-03-30,81.8544921875,151.15,104.29,True,True,False,False,False,False
sol,2026-04-06,81.53523254394531,149.82,104.55,True,True,False,False,False,False
sol,2026-04-13,83.58094787597656,148.61,104.79,True,True,False,False,False,False
sol,2026-04-20,86.97038269042969,146.89,105.03,True,True,False,False,False,False
sol,2026-04-27,83.89957427978516,145.09,105.29,True,True,False,False,False,False
sol,2026-05-04,96.42698669433594,143.5,105.58,True,True,False,False,False,False
